1.814,6.520,4.546,6.342,3.310,4.251,10000,0,0,0,0,0
1.774,6.561,4.546,6.432,3.288,4.244,11000,0,0,0,0,0
1.847,5.416,4.377,6.361,3.077,4.246,10000,1000,0,0,0,0
1.804,6.383,3.418,6.380,2.864,4.075,10000,0,1000,0,0,0
1.808,6.456,4.596,3.749,3.303,4.178,10000,0,0,1000,0,0
1.794,6.380,4.074,6.413,2.483,4.060,10000,0,0,0,1000,0
1.790,6.546,4.347,6.472,3.136,3.454,10000,0,0,0,0,1000
5.263,4.793,5.173,8.185,4.231,5.622,0,10000,0,0,0,0
3.761,4.758,4.772,7.102,3.582,4.981,1000,10000,0,0,0,0
5.197,4.789,5.228,7.312,4.219,5.499,0,11000,0,0,0,0
4.923,4.768,3.953,7.781,3.620,5.219,0,10000,1000,0,0,0
4.766,4.754,5.033,4.437,4.035,5.174,0,10000,0,1000,0,0
4.587,4.697,4.457,7.297,2.944,5.120,0,10000,0,0,1000,0
4.633,4.792,4.743,6.902,3.745,4.268,0,10000,0,0,0,1000
4.690,6.677,2.352,7.782,3.247,5.156,0,0,10000,0,0,0
3.260,6.516,2.350,6.694,2.895,4.642,1000,0,10000,0,0,0
4.428,5.581,2.361,8.630,3.115,4.962,0,1000,10000,0,0,0
4.700,6.825,2.320,8.330,3.247,5.114,0,0,11000,0,0,0
4.259,6.436,2.384,4.277,3.172,4.958,0,0,10000,1000,0,0
4.230,6.612,2.321,7.303,2.450,4.862,0,0,10000,0,1000,0
4.048,6.510,2.654,7.375,3.095,4.046,0,0,10000,0,0,1000
7.064,8.935,9.548,1.997,8.674,7.075,0,0,0,10000,0,0
4.059,6.999,6.217,2.019,5.232,5.641,1000,0,0,10000,0,0
5.645,6.339,6.449,2.040,5.727,5.883,0,1000,0,10000,0,0
5.217,7.075,4.791,2.036,4.944,5.534,0,0,1000,10000,0,0
7.035,8.630,9.390,1.974,8.353,7.247,0,0,0,11000,0,0
4.963,7.469,5.525,2.022,3.871,5.626,0,0,0,10000,1000,0
5.379,7.302,6.806,2.024,6.010,4.779,0,0,0,10000,0,1000
4.204,6.799,3.954,7.433,1.432,5.125,0,0,0,0,10000,0
3.025,6.720,3.858,6.927,1.440,4.558,1000,0,0,0,10000,0
4.060,5.284,3.902,7.567,1.449,5.097,0,1000,0,0,10000,0
4.079,6.601,3.187,7.806,1.424,4.901,0,0,1000,0,10000,0
3.945,6.846,3.978,4.098,1.447,4.881,0,0,0,1000,10000,0
4.210,6.625,3.934,7.670,1.402,5.106,0,0,0,0,11000,0
3.708,6.451,3.807,6.432,1.449,3.684,0,0,0,0,10000,1000
3.984,7.245,5.278,6.016,4.039,2.520,0,0,0,0,0,10000
2.932,7.233,4.767,6.183,3.507,2.478,1000,0,0,0,0,10000
3.683,5.643,4.570,6.376,3.461,2.534,0,1000,0,0,0,10000
3.535,6.701,3.569,6.277,3.061,2.688,0,0,1000,0,0,10000
4.573,7.638,6.650,4.144,4.940,3.230,0,0,0,1000,0,10000
3.455,6.852,3.980,6.357,2.682,2.635,0,0,0,0,1000,10000
4.013,7.141,5.219,6.282,4.006,2.518,0,0,0,0,0,11000
3.251,6.052,3.952,4.457,2.717,3.533,1667,1667,1667,1667,1667,1667
2.649,5.909,3.532,4.664,2.455,3.603,2667,1667,1667,1667,1667,1667
3.119,5.383,3.658,4.789,2.568,3.810,1667,2667,1667,1667,1667,1667
3.079,5.937,3.037,4.845,2.300,3.757,1667,1667,2667,1667,1667,1667
3.926,6.693,4.982,3.286,3.787,4.172,1667,1667,1667,2667,1667,1667
2.932,5.971,3.400,4.627,2.129,3.646,1667,1667,1667,1667,2667,1667
3.278,6.424,4.054,4.281,2.755,3.285,1667,1667,1667,1667,1667,2667
2.990,5.287,3.199,2.804,2.042,3.524,807,869,1254,2989,2901,1180
2.599,5.353,3.172,2.811,2.017,3.422,1807,869,1254,2989,2901,1180
2.986,5.103,3.228,2.796,2.029,3.523,807,1869,1254,2989,2901,1180
2.951,5.341,2.949,2.845,1.989,3.480,807,869,2254,2989,2901,1180
3.022,5.394,3.226,2.598,2.073,3.534,807,869,1254,3989,2901,1180
2.929,5.326,3.171,2.836,1.891,3.473,807,869,1254,2989,3901,1180
2.880,5.357,3.172,2.817,2.034,3.263,807,869,1254,2989,2901,2180